,450a,550 'w': 'g',550a,550 'w': 'h',555a,555 'w': 'h',555 'w': 'g'
Host Nation Support (HNS),"['HNS (Host Nation Support)', 'Program HNS (Host Nation Support)', 'Program Host Nation Support (HNS)', 'System HNS (Host Nation Support)', 'System Host Nation Support (HNS)', 'Wsparcie pobytu i działań wojsk sojuszniczych na terytorium kraju gospodarza (NATO)', 'Wsparcie przez państwo-gospodarza (HNS)', 'Wsparcie wojsk sojuszniczych przez państwo gospodarza (HNS)']",,"['Logistyka wojskowa', 'Stacjonowanie wojsk obcych']",,,,
Wojskowy oddział gospodarczy (WOG),"['WOG (wojskowy oddział gospodarczy)', 'Wojskowe oddziały gospodarcze (WOG)']",,"['Administracja wojskowa', 'Jednostki wojskowe', 'Logistyka wojskowa', 'Wojsko']",,,,
Koncepcja antydostępu i wzbraniania (A2/AD),"['A2/AD (Anti-Access/Area Denial)', 'Anti-Access/Area Denial (A2/AD)', 'Antydostęp i wzbranianie (A2/AD)', 'Doktryna ""zamknięcia"" dostępu dla sił interwencyjnych (A2/AD)', 'Koncepcja A2/AD (Anti-Access/Area Denial)', 'Koncepcja anydostępowa (A2/AD)', 'Koncepcja blokowania dostępu i przeciwdziałania (A2/AD)', 'Koncepcja w zakresie izolowania pola walki (A2/AD)']",,"['Strategia', 'System obronny państwa', 'Sztuka wojenna']",,,,
Kawaleria powietrzna,['Air cavalry'],['Wojska aeromobilne'],"['Desant', 'Śmigłowce wojskowe', 'Wojska powietrznodesantowe']",,,,
Okopy Lubomirskiego (Warszawa),['Wał Lubomirskiego ((Warszawa)'],['Fortyfikacje ziemne'],,,,,
Włócznia,['Włócznie'],['Broń drzewcowa'],"['Włócznia (narzędzie Męki Pańskiej)', 'Włócznia św. Maurycego']",,,,
Amunicja pistoletowa,"['Amunicja do pistoletów', 'Amunicja do pistoletu', 'Naboje do pistoletów', 'Naboje do pistoletu', 'Naboje pistoletowe', 'Nabój do pistoletu', 'Nabój pistoletowy']",['Amunicja'],['Pistolet'],,,,
Puginał,"['Dagger', 'Sztylet', 'Tulich']",['Broń sieczna'],['Nóż szturmowy'],,,,
Mauser (pistolet),"['Mauser (pistolety)', 'Pistolet Mauser', 'Pistolet Mausera', 'Pistolety Mauser', 'Pistolety Mausera']",['Pistolet'],,,,,
Dreyse (pistolet),"['Dreyse (pistolety)', 'Pistolet Dreyse', 'Pistolety Dreyse']",['Pistolet'],,,,,
