,450a,550 'w': 'g',550a,550 'w': 'h',555a,555 'w': 'h',555 'w': 'g'
Amfibie,['Amphibious'],['Wóz bojowy'],['Czołgi pływające'],"['Amphibious Assault Vehicle', 'PTS-M (transporter pływający)']",,,
Amunicja,['Ammunition'],,"['Broń', 'Handel bronią', 'Nielegalne posiadanie broni lub amunicji', 'Nielegalne wytwarzanie broni palnej i amunicji', 'Niewypały i niewybuchy', 'Rozminowanie', 'Strzelanie']","['Amunicja karabinowa', 'Amunicja pistoletowa', 'Bomby głębinowe', 'Bomby lotnicze', 'Granaty (wojsko)', 'Ładunek miotający', 'Materiały wybuchowe', 'Miny (ładunki wybuchowe)', 'Pociski', 'Race', 'Środki zapalające', 'Torpeda', 'Zapalnik']",,,
Artyleria,['Artillery'],['Wojsko'],"['Balistyka', 'Bateria (pododdział)', 'Ciągniki artyleryjskie', 'Działa', 'Strzelanie artyleryjskie', 'Szkolnictwo artyleryjskie', 'Wojska rakietowe']","['Artyleria ciężka', 'Artyleria forteczna', 'Artyleria górska', 'Artyleria kolejowa', 'Artyleria konna', 'Artyleria lekka', 'Artyleria morska', 'Artyleria naziemna', 'Artyleria pancerna', 'Artyleria przeciwlotnicza', 'Artyleria przeciwpancerna', 'Artyleria pułkowa']",,,
Artyleria lekka,,['Artyleria'],,,,,
Artyleria morska,"['Artyleria nadbrzeżna', 'Artyleria okrętowa', 'Artillery, Coast']",['Artyleria'],['Wojna morska'],,,,
Artyleria pancerna,,"['Artyleria', 'Wojska pancerne']",,,,,
Artyleria przeciwlotnicza,['Antiaircraft artillery'],"['Artyleria', 'Obrona przeciwlotnicza']",,,,,
Artyleria przeciwpancerna,,['Artyleria'],['Broń przeciwpancerna'],,,,
Arado Ar 234 (samolot rozpoznawczy),"['Arado Ar 234', 'Arado 234 Blitz', 'Ar 234', 'Blitz Ar 234']",['Samoloty rozpoznawcze'],,,,,
Bagnet,['Bayonets'],['Broń sieczna'],['Nóż szturmowy'],,,,
Balistyka,['Ballistics'],['Mechanika stosowana'],"['Aerodynamika', 'Artyleria', 'Strzelanie']","['Balistyka końcowa', 'Balistyka wewnętrzna', 'Balistyka zewnętrzna']",,,
Bezpieczeństwo międzynarodowe,"['Obrona pokoju', 'Pokojowe współistnienie', 'Polityka pokojowa', 'Walka o pokój']",['Bezpieczeństwo'],"['Astropolityka', 'Badania nad pokojem', 'Dyplomacja prewencyjna', 'Kontrola zbrojeń', 'Operacje reagowania kryzysowego', 'Plan Gomułki (1963-1964)', 'Platforma Krymska', 'Protokół Litwinowa (1929)', 'Plan Rapackiego (1957)', 'Pokój', 'Polityka bezpieczeństwa', 'Polityka międzynarodowa', 'Prawo międzynarodowe', 'Program Wsparcia Bezpieczeństwa Regionu 2022 (ReSAP)', 'Rozbrojenie', 'Sekurytyzacja (politologia)', 'Siła państwa', 'Specjaliści ds. bezpieczeństwa i obronności', 'Strefy bezatomowe', 'System bezpieczeństwa zbiorowego', 'Szkoła kopenhaska (politologia)', 'Terroryzm państwowy', 'Wspólna Polityka Bezpieczeństwa i Obrony UE', 'Wspólna Polityka Zagraniczna i Bezpieczeństwa UE', 'Współpraca transatlantycka', 'Zimna wojna']",,['Traktat sojuszniczy'],,
Bezpieczeństwo publiczne,"['Bezpieczeństwo powszechne', 'Porządek publiczny']",['Bezpieczeństwo'],"['Administracja', 'Antyterroryzm', 'Bezpieczeństwo identyfikacyjne państwa', 'Bezpieczeństwo lokalne', 'Bezpieczna i przyjazna szkoła (program rządowy)', 'Bezpieczne Miasto (program)', 'Centra zarządzania kryzysowego', 'Dźwiękowy system ostrzegawczy', 'Godzina policyjna', 'Izby wytrzeźwień', 'Katastrofy', 'Klauzula porządku publicznego', 'Klęski elementarne', 'Komisja bezpieczeństwa i porządku (administracja)', 'Kontrola bezpieczeństwa', 'Kontrterroryzm', 'Krajowa Mapa Zagrożeń Bezpieczeństwa', 'Lockdown', 'Milicja', 'Nagroda Koziołek - Bezpieczne Świętokrzyskie', 'Numery alarmowe', 'Oddziały samoobrony', 'Osiedla zamknięte', 'Panoptyzm', 'Policja', 'Policja administracyjna', 'Policja sesyjna', 'Pożarnictwo', 'Prewencja kryminalna', 'Przepisy porządkowe', 'Przestępstwo przeciw bezpieczeństwu powszechnemu', 'Przestępstwo przeciw porządkowi publicznemu', 'Razem bezpieczniej (program rządowy)', 'Służba bezpieczeństwa', 'Straż gminna', 'System powiadamiania ratunkowego', 'Szeryfowie', 'Terroryzm', 'Znaki i barwy bezpieczeństwa', 'Wypadki']","['Bezpieczna plus (program rządowy)', 'Edukacja dla bezpieczeństwa']",,,
Straż marszałkowska,,,,,,,
Machiny i urządzenia oblężnicze,"['Machines and siege equipment', 'Machiny miotające', 'Machiny oblężnicze', 'Urządzenia oblężnicze']",['Broń'],"['Broń miotająca', 'Oblężenia', 'Twierdze i fortyfikacje']",,['Architektura obronna'],,
Bitwy,"['Battles', 'Potyczki']",['Wojna'],"['Batalistyka', 'Oblężenia', 'Pole bitwy (miejsce)']","['Bitwy lądowe', 'Bitwy morskie', 'Bitwy powietrzne']",,,
Bombardowanie lotnicze,"['Nalot bombowy', 'Bombing, Aerial']",,"['Bomby lotnicze', 'Samoloty bombowe', 'Wojna lotnicza', 'Zaciemnienie (wojskowość)']","['Bombardowanie Drezna (1945)', 'Bombardowanie Frampola (1939)', 'Operacja Afrodyta (1944-1945)', 'Operacja Chastise (1943)', 'Operacja ""Frantic"" (1944)', 'Operacja ""Gomora"" (1943)', 'Rajd Doolittle’a (1942)']",,,
Bomby zapalające,['Incendiary bombs'],"['Bomby lotnicze', 'Środki zapalające']",,,,,
Broń,"['Oręż', 'Uzbrojenie (wojskowość)', 'Weapons']",,"['Amunicja', 'Arsenał (budowla)', 'Autonomiczne systemy bojowe', 'Części broni', 'Dane taktyczno-techniczne broni', 'Ekwipunek wojskowy', 'Sprzęt wojskowy', 'Wojsko']","['Broń antysatelitarna', 'Broń biała', 'Broń masowej zagłady', 'Broń gazowa', 'Broń miotająca', 'Broń myśliwska', 'Broń nieśmiercionośna', 'Broń obezwładniająca', 'Broń ochronna', 'Broń palna', 'Broń precyzyjnego rażenia', 'Broń przeciwlotnicza', 'Broń przeciwpancerna', 'Broń radiologiczna', 'Broń rakietowa', 'Machiny i urządzenia oblężnicze', 'Miotacz ognia', 'Paralizator elektryczny', 'Rzemiosło zbrojeniowe']",,,
Broń biała,,['Broń'],"['Damast skuwany', 'Płatnerstwo', 'Stal damasceńska']","['Broń drzewcowa', 'Broń obuchowa', 'Broń sieczna']",,,
Broń biologiczna,"['Broń bakteriologiczna', 'Biological weapons']",['Broń masowej zagłady'],"['Bioterroryzm', 'Obrona przeciwbiologiczna', 'Wojna biologiczna']",,,,
Broń chemiczna,['Chemical weapons'],['Broń masowej zagłady'],"['Terroryzm chemiczny', 'Wojna chemiczna', 'Wojska chemiczne']",['Gazy bojowe'],,,
Broń jądrowa,"['Bomby atomowe', 'Broń atomowa', 'Broń neutronowa', 'Broń termojądrowa', 'Atomic bomb', 'Nuclear weapons', 'Broń nuklearna']",['Broń masowej zagłady'],"['Apel sztokholmski (1950)', 'Atak atomowy na Hiroszimę i Nagasaki (1945)', 'Nieproliferacja', 'Obrona przeciwatomowa', 'Operacja Plumbat (1968)', 'Plan Gomułki (1963-1964)', 'Plan Rapackiego (1957)', 'Porozumienie nuklearne z Iranem (2015)', 'Program ""Wisła"" (broń jądrowa)', 'Projekt Manhattan (1942-1946)', 'Skażenie promieniotwórcze', 'Strefy bezatomowe', 'Technika jądrowa', 'Terroryzm nuklearny', 'Traktat o zakazie broni nuklearnej (2017)', 'Wojska chemiczne']",,,,
Broń miotająca,,['Broń'],['Machiny i urządzenia oblężnicze'],"['Bumerang', 'Kusza', 'Łuk (broń)']",,,
Broń myśliwska,,['Broń'],['Łowiectwo'],"['Bumerang', 'Cieszynka (broń)', 'Dubeltówka', 'Kordelas', 'Łuk (broń)', 'Nóż myśliwski']",,,
Broń palna,"['Broń miotająca pirobalistyczna', 'Firearms']",['Broń'],"['Cząsteczki GSR', 'Damast skuwany', 'Dostęp do broni palnej', 'Gazy prochowe', 'Kierowanie ogniem', 'Lufa', 'Ładunek miotający', 'Nielegalne posiadanie broni lub amunicji', 'Nielegalne wytwarzanie broni palnej i amunicji', 'Pozwolenie na broń', 'Prawo do posiadania i noszenia broni', 'Rany postrzałowe', 'Rusznikarstwo', 'Strzelanie', 'Użycie broni palnej', 'Zamek kołowy']","['Arkebuz', 'Broń bezodrzutowa', 'Cieszynka (broń)', 'Dubeltówka', 'Działa', 'Granatnik', 'Hakownica', 'Karabin', 'Karabinek (broń)', 'Pistolet', 'Rewolwer']",,,
Broń przeciwpancerna,['Antitank weapons'],['Broń'],"['Artyleria przeciwpancerna', 'Obrona przeciwpancerna', 'Pancerze (powłoki)', 'Przeszkody przeciwpancerne', 'Wojska pancerne']","['Armaty przeciwpancerne', 'Granaty przeciwpancerne', 'Miny przeciwpancerne', 'Niszczyciele czołgów', 'Pociski przeciwpancerne']",,,
Broń rakietowa,"['Pociski rakietowe', 'Rockets (Ordnance)']",['Broń'],"['Ballistic Missile Defense', 'Broń antysatelitarna', 'Broń przeciwlotnicza', 'Fregaty rakietowe', 'Obrona przeciwrakietowa', 'Pociski', 'Pociski balistyczne', 'Pociski kierowane', 'Przeciwlotnicze pociski rakietowe', 'Rakiety', 'Strzelanie rakietowe', 'Wojska rakietowe', 'Wyrzutnia rakietowa']","['BM-21 Grad (broń rakietowa)', 'PPZR Grom (broń rakietowa)', 'Katiusza (broń rakietowa)', 'S-200 (broń rakietowa)']",,,
Budownictwo wojskowe,,"['Budownictwo', 'Inżynieria wojskowa']",,"['Koszary', 'Wartownie']",,['Architektura obronna'],
Przestępstwo przeciw bezpieczeństwu powszechnemu,,['Przestępstwo'],['Bezpieczeństwo publiczne'],"['Nielegalne wytwarzanie broni palnej i amunicji', 'Podpalenie']",,,
Czołgi,['Tanks (Military science)'],"['Pojazdy gąsienicowe', 'Wóz bojowy']",['Służba czołgowo-samochodowa'],"['AMX-30 (czołg)', 'Centurion (czołg)', 'Chieftain (czołg)', 'Czołgi ciężkie', 'Czołgi lekkie', 'Czołgi specjalne', 'Czołgi średnie', 'Leopard 1 (czołg)', 'Leopard 2 (czołg)', 'M1 Abrams (czołg)', 'M48 Patton (czołg)', 'Mark I (czołg)', 'Mark II (czołg)', 'Merkawa (czołg)', 'T-54 (czołg)', 'T-72 (czołg)', 'T-80 (czołg podstawowy)', 'Valentine (czołg)']",,,
Desant,['Amphibious warfare'],['Sztuka wojenna'],"['Kawaleria powietrzna', 'Okręty desantowe', 'Operacje desantowe', 'Operacje powietrznodesantowe', 'Wojska powietrznodesantowe']",,,,
Drogi wojskowe,,['Drogi'],['Inżynieria wojskowa'],,,,
Dyscyplina wojskowa,['Military discipline'],['Dyscyplina (socjologia)'],"['Etyka żołnierska', 'Gotowość bojowa', 'Odmowa wykonania rozkazu', 'Prawo wojskowe', 'Wojsko']",,['Rozkaz'],,
Działa,['Ordnance'],['Broń palna'],"['Artyleria', 'Działobitnia', 'Ludwisarstwo', 'Puszkarstwo', 'Strzelanie artyleryjskie', 'Szrapnel']","['15 cm sIG 33 (działo piechoty)', 'Armaty', 'Działa gładkolufowe', 'Działa gwintowane', 'Działa samobieżne', 'Haubice', 'Haubicoarmaty', 'Moździerze (uzbrojenie)']",,,
Gaśnice,,['Sprzęt ratowniczo-gaśniczy'],['Środki gaśnicze'],,,,
Gazy bojowe,,"['Broń chemiczna', 'Gazy']","['Broń gazowa', 'Chlorocyjan', 'Cyjanowodór', 'Fosgen', 'Obrona przeciwgazowa']","['Iperyt azotowy', 'Iperyt siarkowy']",,,
Geografia wojenna,['Military geography'],"['Geografia', 'Nauki o obronności']",['Wojna'],['Topografia wojskowa'],,,
Grafologia,['Psychografologia'],"['Kryminalistyka', 'Pismo', 'Psychologia stosowana']",,,,,
Granaty (wojsko),['Grenades'],['Amunicja'],['Granatnik'],['Granaty przeciwpancerne'],,,
Inwalidzi wojenni,['Disabled veterans'],"['Osoby z niepełnosprawnością', 'Ofiary wojny']","['Inwalidztwo', 'Wojna']",,,,
Inżynieria wojskowa,"['Wojska inżynieryjne', 'Wojska techniczne']","['Nauki o obronności', 'Technika']","['Drogi wojskowe', 'Mosty wojskowe', 'Park pontonowy', 'Przeprawy wodne', 'Przeszkody przeciwpancerne', 'Saperzy', 'Technika wojskowa', 'Twierdze i fortyfikacje', 'Wojska drogowo-mostowe', 'Wojska kolejowe', 'Wsparcie inżynieryjne']","['Budownictwo wojskowe', 'Minerstwo']",,,
Janczarowie,"['Janczarzy', 'Korpus janczarski', 'Yeni çeri', 'Yeniçeri']",['Piechota'],,,,,
Jeńcy wojenni,['Prisoners of war'],"['Więźniowie obozów', 'Wojsko', 'Żołnierze']","['Deklaracja petersburska (1868)', 'Egzekucja polskich oficerów w Charkowie', 'Konwencje o ochronie ofiar wojny (1949)', 'Obozy jenieckie', 'Prawo humanitarne międzynarodowe', 'Wojna']",,['Czasopismo jenieckie'],,
Kapelani wojskowi,['Military chaplains'],"['Kapelani', 'Wojsko']",['Duszpasterstwo wojskowe'],,,,
Karabin,['Rifles'],['Broń palna'],"['Amunicja karabinowa', 'Karabinek (broń)', 'Odgłosy maszyn i narzędzi']","['Karabin automatyczny', 'Karabin maszynowy', 'Karabin powtarzalny', 'Karabin przeciwpancerny', 'Karabin wyborowy', 'Wiatrówka (broń)']",,,
Karabin maszynowy,['Broń maszynowa'],['Karabin'],,"['Chauchat (karabin)', 'Ciężki karabin maszynowy wz. 30', 'Hotchkiss (karabin)', 'Karabin masz', 'Kartaczownica (karabin)', 'Maxim (karabin)', 'Najcięższy karabin maszynowy wz. 38FK', 'Ręczny karabin maszynowy ""Browning"" wz. 28', 'Schwarzlose (ckm)', 'UKM-2000 (karabin maszynowy)']",,,
Katastrofy,,,"['Awaria techniczna', 'Bezpieczeństwo publiczne', 'Ewakuacja', 'Ofiary katastrof i wypadków', 'Ratownictwo', 'Rzeczywistość postapokaliptyczna', 'Sztuka przetrwania', 'Wypadki']","['Awarie przemysłowe', 'Katastrofy budowlane', 'Katastrofy ekologiczne', 'Katastrofy lotnicze', 'Katastrofy morskie']",['Film katastroficzny'],,
Kawaleria,"['Jazda (wojsk.)', 'Kirasjerzy', 'Konnica', 'Strzelcy konni', 'Ułani', 'Cavalry']",['Wojsko'],['Zbroja końska'],"['Artyleria konna', 'Husaria']",,,
Klęski elementarne,"['Katastrofy naturalne', 'Katastrofy żywiołowe', 'Klęski żywiołowe']",,"['Bezpieczeństwo publiczne', 'Ekstremalne zjawiska pogodowe', 'Ewakuacja', 'Geozagrożenia', 'Impakcja', 'Katastrofy ekologiczne', 'Mechanizm Ochrony Ludności', 'Ofiary katastrof i wypadków', 'Opieka społeczna', 'Ratownictwo', 'Szabrownictwo', 'Szkody spowodowane czynnikami naturalnymi', 'Szkody w rolnictwie', 'Ubezpieczenia od klęsk żywiołowych', 'Współpraca cywilno-wojskowa', 'Zaopatrzenie kartkowe']","['Epidemie', 'Głód', 'Grad', 'Huragan', 'Powódź', 'Pożar', 'Susza', 'Trąba powietrzna', 'Trzęsienie ziemi', 'Tsunami', 'Wybuchy wulkanów', 'Zima stulecia (1978/1979)']",,,
Kombatanci,"['Weterani', 'Veterans']",['Żołnierze'],"['Dzień Weterana (1 września)', 'Dzień Weterana Działań poza Granicami Państwa (29 maja)', 'Medal Pro Bono Poloniae', 'Medal ""Pro Patria""', 'Organizacje kombatanckie', 'Powstańcy styczniowi', 'Powstańcy warszawscy', 'Powstańcy wielkopolscy (1918-1919)', 'Wojna']",,['Czasopismo kombatanckie'],,
Kontrybucja wojenna,,,"['Okupacja', 'Prawo wojenne']",,,,
Kordzik,,['Nóż szturmowy'],['Oficerowie'],,,,
Kryminalistyka,,['Nauki społeczne'],"['Alibi', 'Analiza kryminalna', 'Automatyczny System Identyfikacji Daktyloskopijnej (AFIS)', 'Chemia sądowa', 'Cząsteczki GSR', 'Dowód elektroniczny', 'Ekspertyza (prawo)', 'Identyfikacja zwłok', 'Informatyka śledcza', 'Językoznawstwo kryminalistyczne', 'Kontaminacja (kryminalistyka)', 'Laboratoryjna diagnostyka sądowa', 'Medycyna sądowa', 'Modus operandi', 'Oględziny kryminalistyczne', 'Okazanie (prawo)', 'Palinologia', 'Poczytalność ograniczona', 'Policja kryminalna', 'Portret pamięciowy', 'Prawo', 'Przestępstwo', 'Psychologia kryminalistyczna', 'Socjologia kryminalistyczna', 'Ślady kryminalistyczne', 'Śledztwo i dochodzenie', 'Technicy kryminalistyki', 'Ustalanie czasu zgonu', 'Weterynaria sądowa', 'Zespoły ds. Przestępstw Niewykrytych']","['Archeologia sądowa', 'Cheiloskopia', 'Daktyloskopia', 'Detekcja kłamstwa', 'Fonoskopia', 'Gantiskopia', 'Grafologia', 'Mechanoskopia', 'Odontoskopia', 'Osmologia kryminalistyczna', 'Otoskopia kryminalistyczna', 'Traseologia']",,,
Bomby głębinowe,['Bomby podwodne'],['Amunicja'],"['Bomby lotnicze', 'Wojna morska']",,,,
Torpedowce i kutry torpedowe,"['Kuter torpedowy', 'Kutry torpedowe', 'Kutry torpedowe i torpedowce', 'Okręt torpedowy', 'Okręty torpedowe', 'Torpedowce', 'Torpedowiec', 'Torpedo-boats']",['Okręty wojenne'],,"['Kaszub (torpedowiec)', 'Krakowiak (torpedowiec)', 'Kujawiak (torpedowiec)', 'Podhalanin (torpedowiec)', 'Schnellboot Typ S-38 (kuter torpedowy)', 'Schnellboot Typ S-100 (kuter torpedowy)', 'Ślązak (torpedowiec)']",,,
Kwatermistrzostwo,,['Wojsko'],"['Kuchnia polowa', 'Logistyka wojskowa', 'Żywienie w wojsku']",,,,
Lotnictwo morskie,['Naval aviation'],['Lotnictwo wojskowe'],"['Marynarka wojenna', 'Wodnosamolot']",['Lotnictwo pokładowe'],,,
Lotnictwo wojskowe,"['Aeronautics, Military']","['Lotnictwo', 'Wojsko']","['Balony wojskowe', 'Bazy lotnicze', 'Kamikaze', 'Lotnicy wojskowi', 'Lotniska wojskowe', 'Obrona przeciwlotnicza', 'Obserwatorzy lotniczy', 'Samoloty wojskowe', 'Śmigłowce wojskowe', 'Wojna lotnicza', 'Wojska aeromobilne', 'Wsparcie lotnicze', 'Zrzuty lotnicze']","['Eskadra (wojsko)', 'Lotnictwo morskie', 'Lotnictwo towarzyszące', 'Służba ratownictwa lotniczego']",,,
Lotniskowce,['Aircraft carriers '],['Okręty wojenne'],"['Lotnictwo pokładowe', 'Okręt-baza wodnosamolotów']","['Akagi (okręt)', 'Graf Zeppelin (okręt)', 'Kitkun Bay (okręt)', 'Saratoga (okręt)', 'Shinano (okręt)']",,,
Łodzie,['Łódź (żegluga)'],['Statki'],"['Wiosło', 'Wioślarstwo']","['Czajka (łódź)', 'Drezyna wodna', 'Gondola (łódź)', 'Kajak', 'Kanu', 'Łodzie elektryczne', 'Łodzie jednopienne', 'Łodzie motorowe', 'Łodzie patrolowe', 'Łodzie ratunkowe', 'Łodzie żaglowe', 'Ponton (łódka)', 'Tratwy']",,,
Ochrona mienia,"['Majątek-ochrona', 'Mienie-ochrona']",,"['Agencje ochrony osób i mienia', 'Autoalarmy samochodowe', 'Konwojowanie', 'Pies obronny', 'Pracownicy ochrony mienia i osób', 'Systemy alarmowe', 'Systemy przeciwkradzieżowe', 'Techniczne systemy zabezpieczeń obiektów']",['Ochrona obiektów'],,,
Mamelucy,,['Wojsko'],,,,,
Marynarka wojenna,"['Flota wojenna', 'Navies']",['Wojsko'],"['Admirałowie', 'Bazy morskie', 'Lotnictwo morskie', 'Marine Ehrenmal (Laboe)', 'Marynarze', 'Okręty wojenne', 'Piechota morska', 'Rozpoznanie morskie', 'Traktat waszyngtoński (1922)', 'Wojna morska']","['Eskadra (wojsko)', 'Flotylla rzeczna']",,,
Marynarze,['Sailors'],['Zawód'],"['Agencja crewingowa', 'Ceremoniał morski', 'Marynarka handlowa', 'Marynarka wojenna', 'Socjologia morska', 'Żeglarze']","['Admirałowie', 'Marynarze śródlądowi', 'Motorzyści wachtowi', 'Nawigatorzy morscy']",,,
Maska przeciwgazowa,,['Broń ochronna'],"['Ekwipunek wojskowy', 'Obrona przeciwgazowa']",,,,
Maskowanie (wojsko),"['Kamuflaż (wojsko)', 'Camouflage (Military science)']",,['Wojsko'],['Zasłona dymna'],,,
Materiały wybuchowe,"['Explosives', 'Materiał wybuchowy']","['Amunicja', 'Materiały i półprodukty', 'Substancje niebezpieczne i szkodliwe']","['Improwizowane urządzenia wybuchowe', 'Kumulacja (wybuch)', 'Ładunek miotający', 'Minerstwo', 'Niewypały i niewybuchy', 'Pirotechniczne układy opóźniające', 'Pirotechnika', 'Roboty strzałowe', 'Strefa zagrożenia wybuchem', 'Wybuch']","['ANFO (materiał wybuchowy)', 'Azydek ołowiu (II)', 'Dwunitro-orto-krezol', 'Materiały wybuchowe emulsyjne', 'Nadtlenek acetonu', 'Nadtlenek urotropiny', 'Nitroceluloza', 'Nitrogliceryna', 'Oktogen', 'Proch']",,,
Miecz,['Swords '],['Broń sieczna'],,"['Miecz katowski', 'Szczerbiec']",,,
Milicja,,['Służby mundurowe'],['Bezpieczeństwo publiczne'],['Gwardia narodowa'],,,
Militaryzm,['Militarism'],,"['Imperializm', 'Wojsko', 'Wyścig zbrojeń', 'Zbrojenia']",,,,
Miny (ładunki wybuchowe),['Mines (Military explosives)'],['Amunicja'],"['Minerstwo', 'Traktat ottawski (1997)']","['Miny morskie', 'Miny przeciwpancerne']",,,
Miny morskie,['Submarine mines'],['Miny (ładunki wybuchowe)'],"['Niszczyciele min', 'Trał morski', 'Wojna morska']",,,,
Służba bezpieczeństwa,['Policja polityczna'],['Służby specjalne'],"['Archiwa służby bezpieczeństwa', 'Bezpieczeństwo publiczne', 'Policja']",,,,
Służba wojskowa,,,"['Odmowa odbycia służby wojskowej', 'Powołanie do wojska', 'Szkolenie wojskowe', 'Wojsko']","['Ochotnicza służba wojskowa', 'Zasadnicza służba wojskowa', 'Zastępcza służba wojskowa', 'Zawodowa służba wojskowa']",,,
Stan wyjątkowy,['Prawo stanu wyjątkowego'],['Stany nadzwyczajne'],['Stan wojenny (prawo)'],,,,
Strategia,,['Sztuka wojenna'],"['Gry wojenne', 'Koncepcja antydostępu i wzbraniania (A2/AD)', 'Odstraszanie militarne', 'Strategia państwa']",,,,
Straty bojowe,,['Straty wojenne'],['Apel poległych'],,,,
Straty wojenne,['Zniszczenia wojenne'],,"['Odbudowa (urbanistyka)', 'Odszkodowania wojenne', 'Restytucja dóbr kultury', 'Wojna', 'Zaginione dzieła sztuki', 'Znak tożsamości żołnierza']",['Straty bojowe'],,,
Strzelanie,['Shooting'],,"['Airsoft', 'Amunicja', 'Balistyka', 'Broń palna', 'Cząsteczki GSR', 'Dwubój zimowy', 'Kamizelka kuloodporna', 'Kierowanie ogniem', 'Paintball', 'Pociski', 'Strzelcy wyborowi']","['Strzelanie artyleryjskie', 'Strzelanie powietrzne', 'Strzelanie rakietowe', 'Strzelectwo sportowe']",,,
Strzelcy podhalańscy,,['Wojska górskie'],,,,,
Szabla,"['Sabers', 'Szable']",['Broń sieczna'],,['Szamszir'],,,
Szpada,,['Broń sieczna'],,,,,
Szpiegostwo,,['Przestępstwo polityczne'],"['Podwójni agenci', 'Szpiegomania', 'Wywiad']",,,,
Sztuka wojenna,['Art of warfare'],['Nauki o obronności'],"['Badania nad pokojem', 'Doktryna wojenna', 'Koncepcja antydostępu i wzbraniania (A2/AD)', 'Rycerze', 'Specjaliści ds. bezpieczeństwa i obronności', 'Teoretycy wojskowości', 'Wojna', 'Wojsko']","['Ćwiczenia wojskowe', 'Desant', 'Dyslokacja (wojsko)', 'Działania w miastach (wojsko)', 'Gotowość bojowa', 'Logistyka wojskowa', 'Podstęp wojenny', 'Przegrupowanie wojsk', 'Rozpoznanie (wojsko)', 'Rozwinięcie wojsk operacyjne', 'Strategia', 'Sztuka operacyjna', 'Taktyka']",,,
Szyfry,['Szyfr'],['Kody'],"['Blockchain', 'Deszyfracja', 'Infrastruktura kluczy publicznych', 'Klucz (kryptografia)', 'Kryptografia kwantowa', 'Kryptologia', 'Kryptowaluta', 'PGP (oprogramowanie)', 'Podpis elektroniczny', 'Steganografia']",,,,
Środki zapalające,"['Broń zapalająca', 'Amunicja zapalająca', 'Incendiary weapons ']",['Amunicja'],,['Bomby zapalające'],,,
Taktyka,,['Sztuka wojenna'],"['Gry wojenne', 'Znak taktyczny']","['Atak (wojskowość)', 'Działania asymetryczne (wojsko)', 'Działania w nocy i ograniczonej widoczności (wojsko)', 'Forsowanie (wojsko)', 'Luzowanie (wojsko)', 'Marsz (wojsko)', 'Natarcie', 'Działania obronne', 'Działania opóźniające', 'Działania osłonowe', 'Postój wojsk', 'Wsparcie bojowe']",,,
Topografia wojskowa,['Kartografia wojskowa'],"['Geografia wojenna', 'Topografia']",['Znak taktyczny'],,['Mapa wojskowa'],,
Torpeda,['Torpedoes'],['Amunicja'],,['Żywa torpeda'],,,
Walka,['Combat'],,"['Konflikt', 'Prakseologia', 'Sytuacje graniczne']","['Bojkot', 'Opór bierny', 'Samoobrona', 'Walka klas', 'Walka wręcz', 'Walki zwierząt', 'Wojna']",,,
Walka wręcz,"['Sporty walki', 'Sztuki walki']","['Sport', 'Walka']","['Katsu', 'Nunczaku', 'Palcaty (sport)', 'Pojedynek', 'Chi Kung', 'Pałka teleskopowa', 'Tai chi chuan', 'Tonfa', 'Turnieje rycerskie']","['Aikido', 'Arnis', 'Boks', 'Boks tajski', 'Budo', 'Capoeira', 'Combat kalaki', 'Hapkido', 'Jeet Kune Do', 'Judo', 'Jujitsu', 'Kenjutsu', 'Karate', 'Kendo', 'Kick-boxing', 'Krabi krabong', 'Krav maga', 'Kung-fu', 'Kyoksul', 'Kyusho-jutsu', 'Mieszane sztuki walki', 'Ninjitsu', 'Pencak silat', 'Sambo', 'Savate', 'Taekwondo', 'Taijiquan', 'Thien Mon Dao', 'Ukemi waza', 'Wushu', 'Zapasy (sport)']",,,
Wały przeciwpowodziowe,,,"['Hydrotechnika', 'Ochrona przeciwpowodziowa', 'Roboty ziemne']",,,,
